[final],
"8","10","10000",
"10","10","10000",
"7","10","10000",
"8","10","10000",
"9","10","10000",
"9","10","10000",
"8","10","10000",
"9","10","10000",
"7","10","10000",
"7","10","10000",
"7","10","10000",
"9","10","10000",
"9","10","10000",
"9","10","10000",
"8","10","10000",
"6","10","10000",
"6","10","10000",
"10","10","10000",
"8","10","10000",
"6","10","10000",
"2","10","10000",
"6","10","10000",
"2","10","10000",
"6","10","10000",
"0","10","8740",
"1","10","10000",
"1","10","10000",
"6","10","10000",
"1","10","10000",
"6","10","10000",
"5","30","10000",
"7","30","10000",
"5","30","10000",
"4","30","10000",
"6","30","10000",
"6","30","10000",
"5","30","10000",
"8","30","10000",
"6","30","10000",
"8","30","10000",
"3","30","10000",
"4","30","10000",
"2","30","10000",
"5","30","10000",
"4","30","10000",
"3","30","10000",
"3","30","10000",
"5","30","10000",
"6","30","10000",
"3","30","10000",
"3","30","10000",
"2","30","10000",
"3","30","10000",
"1","30","10000",
"3","30","10000",
"2","30","10000",
"2","30","10000",
"1","30","10000",
"0","30","6488",
"1","30","10000",
"8","50","10000",
"5","50","10000",
"6","50","10000",
"4","50","10000",
"3","50","10000",
"6","50","10000",
"6","50","10000",
"0","50","9241",
"3","50","10000",
"7","50","10000",
"3","50","10000",
"4","50","10000",
"2","50","10000",
"3","50","10000",
"2","50","10000",
"4","50","10000",
"2","50","10000",
"3","50","10000",
"3","50","10000",
"3","50","10000",
"2","50","10000",
"1","50","10000",
"0","50","8912",
"0","50","7133",
"1","50","10000",
"1","50","10000",
"0","50","4141",
"1","50","10000",
"1","50","10000",
"0","50","9897",
"22","10","10000",
"25","10","10000",
"26","10","10000",
"23","10","10000",
"24","10","10000",
"28","10","10000",
"26","10","10000",
"25","10","10000",
"24","10","10000",
"26","10","10000",
"24","10","10000",
"21","10","10000",
"16","10","10000",
"21","10","10000",
"24","10","10000",
"21","10","10000",
"16","10","10000",
"21","10","10000",
"26","10","10000",
"18","10","10000",
"7","10","10000",
"2","10","10000",
"4","10","10000",
"10","10","10000",
"3","10","10000",
"11","10","10000",
"4","10","10000",
"11","10","10000",
"11","10","10000",
"17","10","10000",
"14","30","10000",
"14","30","10000",
"20","30","10000",
"15","30","10000",
"18","30","10000",
"14","30","10000",
"17","30","10000",
"16","30","10000",
"16","30","10000",
"16","30","10000",
"11","30","10000",
"16","30","10000",
"10","30","10000",
"10","30","10000",
"14","30","10000",
"12","30","10000",
"12","30","10000",
"14","30","10000",
"12","30","10000",
"12","30","10000",
"7","30","10000",
"4","30","10000",
"3","30","10000",
"10","30","10000",
"9","30","10000",
"11","30","10000",
"5","30","10000",
"5","30","10000",
"15","30","10000",
"9","30","10000",
"8","50","10000",
"10","50","10000",
"10","50","10000",
"12","50","10000",
"15","50","10000",
"10","50","10000",
"13","50","10000",
"10","50","10000",
"13","50","10000",
"10","50","10000",
"8","50","10000",
"7","50","10000",
"13","50","10000",
"9","50","10000",
"13","50","10000",
"6","50","10000",
"9","50","10000",
"3","50","10000",
"10","50","10000",
"12","50","10000",
"4","50","10000",
"3","50","10000",
"4","50","10000",
"9","50","10000",
"6","50","10000",
"4","50","10000",
"3","50","10000",
"5","50","10000",
"2","50","10000",
"7","50","10000",
"40","10","10000",
"43","10","10000",
"40","10","10000",
"44","10","10000",
"39","10","10000",
"45","10","10000",
"44","10","10000",
"38","10","10000",
"43","10","10000",
"44","10","10000",
"32","10","10000",
"37","10","10000",
"34","10","10000",
"40","10","10000",
"38","10","10000",
"39","10","10000",
"34","10","10000",
"38","10","10000",
"41","10","10000",
"35","10","10000",
"26","10","10000",
"32","10","10000",
"33","10","10000",
"18","10","10000",
"18","10","10000",
"32","10","10000",
"13","10","10000",
"9","10","10000",
"25","10","10000",
"13","10","10000",
"31","30","10000",
"27","30","10000",
"26","30","10000",
"21","30","10000",
"28","30","10000",
"23","30","10000",
"21","30","10000",
"28","30","10000",
"28","30","10000",
"27","30","10000",
"20","30","10000",
"26","30","10000",
"19","30","10000",
"21","30","10000",
"25","30","10000",
"17","30","10000",
"26","30","10000",
"20","30","10000",
"18","30","10000",
"24","30","10000",
"10","30","10000",
"6","30","10000",
"9","30","10000",
"9","30","10000",
"4","30","10000",
"14","30","10000",
"8","30","10000",
"10","30","10000",
"13","30","10000",
"10","30","10000",
"21","50","10000",
"24","50","10000",
"20","50","10000",
"20","50","10000",
"18","50","10000",
"19","50","10000",
"17","50","10000",
"15","50","10000",
"18","50","10000",
"19","50","10000",
"13","50","10000",
"12","50","10000",
"14","50","10000",
"15","50","10000",
"11","50","10000",
"8","50","10000",
"12","50","10000",
"8","50","10000",
"7","50","10000",
"12","50","10000",
"4","50","10000",
"5","50","10000",
"6","50","10000",
"3","50","10000",
"4","50","10000",
"12","50","10000",
"4","50","10000",
"7","50","10000",
"3","50","10000",
"7","50","10000"
