[final],
"0","214",
"0","119",
"0","114",
"0","103",
"0","119",
"0","133",
"0","171",
"0","133",
"0","137",
"0","118",
"0","220",
"0","279",
"0","230",
"0","256",
"0","256",
"0","288",
"0","307",
"0","293",
"0","220",
"0","153",
"0","1572",
"0","991",
"0","755",
"0","1240",
"0","1314",
"0","2562",
"0","3773",
"0","1932",
"0","4906",
"0","1990",
"0","181",
"0","218",
"0","307",
"0","647",
"0","268",
"0","435",
"0","285",
"0","273",
"0","452",
"0","250",
"0","2385",
"0","1358",
"0","1713",
"0","3667",
"0","5146",
"0","961",
"0","3629",
"0","3239",
"0","2105",
"0","1360",
"4","10000",
"5","10000",
"1","10000",
"1","10000",
"3","10000",
"5","10000",
"3","10000",
"4","10000",
"3","10000",
"4","10000",
"0","695",
"0","1016",
"0","896",
"0","862",
"0","442",
"0","847",
"0","466",
"0","677",
"0","717",
"0","2038",
"0","1643",
"0","6480",
"0","7317",
"0","2935",
"0","7998",
"0","6570",
"0","4393",
"0","2232",
"1","10000",
"1","10000",
"2","10000",
"3","10000",
"4","10000",
"5","10000",
"5","10000",
"2","10000",
"2","10000",
"5","10000",
"4","10000",
"6","10000",
"0","144",
"0","199",
"0","172",
"0","194",
"0","175",
"0","161",
"0","148",
"0","159",
"0","189",
"0","258",
"0","190",
"0","353",
"0","382",
"0","327",
"0","459",
"0","244",
"0","358",
"0","240",
"0","439",
"0","374",
"0","1725",
"0","2550",
"0","2176",
"0","2316",
"0","1442",
"0","3872",
"0","1913",
"0","1985",
"0","4486",
"0","1984",
"0","324",
"0","461",
"0","385",
"0","393",
"0","296",
"0","493",
"0","314",
"0","576",
"0","902",
"0","618",
"0","1876",
"0","4368",
"0","4419",
"0","3616",
"0","2419",
"0","2733",
"0","2222",
"0","9334",
"0","2722",
"0","4343",
"7","10000",
"12","10000",
"10","10000",
"6","10000",
"7","10000",
"8","10000",
"9","10000",
"8","10000",
"6","10000",
"8","10000",
"0","834",
"0","1191",
"0","2019",
"0","764",
"0","933",
"0","1631",
"0","1517",
"0","625",
"0","927",
"0","1544",
"0","6141",
"3","10000",
"4","10000",
"0","9574",
"1","10000",
"1","10000",
"1","10000",
"0","5672",
"0","6656",
"1","10000",
"7","10000",
"12","10000",
"13","10000",
"14","10000",
"7","10000",
"15","10000",
"9","10000",
"11","10000",
"10","10000",
"11","10000",
"0","223",
"0","192",
"0","236",
"0","169",
"0","131",
"0","175",
"0","171",
"0","159",
"0","171",
"0","137",
"0","289",
"0","445",
"0","271",
"0","255",
"0","268",
"0","338",
"0","214",
"0","540",
"0","254",
"0","532",
"0","1413",
"0","2422",
"0","3101",
"0","2594",
"0","6021",
"0","2852",
"0","3731",
"0","2876",
"0","2724",
"0","3578",
"0","647",
"0","399",
"0","783",
"0","893",
"0","301",
"0","430",
"0","640",
"0","736",
"0","663",
"0","914",
"0","1672",
"0","3530",
"0","2946",
"0","2551",
"0","4759",
"0","5605",
"0","3959",
"0","2310",
"0","1775",
"0","2848",
"11","10000",
"23","10000",
"10","10000",
"15","10000",
"15","10000",
"13","10000",
"6","10000",
"10","10000",
"16","10000",
"21","10000",
"0","720",
"0","2958",
"0","617",
"0","1947",
"0","814",
"0","1662",
"0","1059",
"0","1211",
"0","729",
"0","1201",
"5","10000",
"7","10000",
"2","10000",
"0","7571",
"0","7664",
"3","10000",
"7","10000",
"11","10000",
"2","10000",
"3","10000",
"18","10000",
"17","10000",
"22","10000",
"20","10000",
"18","10000",
"28","10000",
"22","10000",
"9","10000",
"15","10000",
"22","10000"
