[final],
"0","341",
"0","311",
"0","526",
"0","276",
"0","640",
"0","335",
"0","693",
"0","274",
"0","670",
"0","504",
"0","327",
"0","393",
"0","736",
"0","940",
"0","250",
"0","479",
"0","189",
"0","277",
"0","1488",
"0","1028",
"0","461",
"0","1207",
"0","1330",
"0","578",
"0","703",
"0","370",
"0","609",
"0","589",
"0","642",
"0","737",
"0","5671",
"0","3246",
"0","6369",
"0","7888",
"0","6423",
"0","2970",
"0","7030",
"2","10000",
"0","4853",
"0","4008",
"1","10000",
"0","4114",
"0","1272",
"0","9496",
"0","8852",
"0","9322",
"0","4846",
"0","3016",
"0","3925",
"0","4147",
"1","10000",
"0","5756",
"0","8317",
"0","6316",
"1","10000",
"0","8407",
"1","10000",
"0","4398",
"1","10000",
"0","6187",
"1","10000",
"3","10000",
"6","10000",
"5","10000",
"3","10000",
"3","10000",
"5","10000",
"7","10000",
"5","10000",
"2","10000",
"2","10000",
"3","10000",
"3","10000",
"4","10000",
"5","10000",
"2","10000",
"5","10000",
"1","10000",
"1","10000",
"2","10000",
"1","10000",
"2","10000",
"2","10000",
"3","10000",
"1","10000",
"7","10000",
"3","10000",
"1","10000",
"1","10000",
"4","10000",
"0","909",
"0","473",
"0","368",
"0","316",
"0","390",
"0","1665",
"0","1125",
"0","1388",
"0","1373",
"0","571",
"0","255",
"0","867",
"0","529",
"0","1091",
"0","976",
"0","427",
"0","499",
"0","578",
"0","796",
"0","3212",
"0","966",
"0","584",
"0","803",
"0","637",
"0","615",
"0","1155",
"0","834",
"0","453",
"0","1202",
"0","618",
"0","5559",
"0","7646",
"0","6306",
"7","10000",
"0","5347",
"1","10000",
"0","7310",
"0","6850",
"0","5501",
"0","5231",
"0","4752",
"0","8737",
"0","3048",
"0","8830",
"0","5840",
"0","2243",
"0","4249",
"3","10000",
"2","10000",
"0","5120",
"0","6187",
"0","3304",
"0","6302",
"0","6803",
"0","5674",
"0","8162",
"0","9268",
"6","10000",
"0","8615",
"0","7826",
"5","10000",
"11","10000",
"10","10000",
"13","10000",
"5","10000",
"6","10000",
"11","10000",
"9","10000",
"8","10000",
"11","10000",
"11","10000",
"9","10000",
"8","10000",
"16","10000",
"7","10000",
"13","10000",
"8","10000",
"14","10000",
"9","10000",
"11","10000",
"16","10000",
"13","10000",
"10","10000",
"14","10000",
"9","10000",
"10","10000",
"11","10000",
"9","10000",
"7","10000",
"7","10000",
"0","874",
"0","1625",
"0","775",
"0","311",
"0","794",
"0","1212",
"0","776",
"0","1622",
"0","1686",
"0","2055",
"0","1317",
"0","1562",
"0","1159",
"0","443",
"0","1218",
"0","733",
"0","391",
"0","476",
"0","852",
"0","478",
"0","652",
"0","1642",
"0","1665",
"0","1006",
"0","1922",
"0","1335",
"0","1843",
"0","979",
"0","816",
"0","2026",
"0","6428",
"7","10000",
"0","2796",
"0","9492",
"0","2654",
"1","10000",
"3","10000",
"0","7842",
"0","5319",
"0","7585",
"9","10000",
"2","10000",
"2","10000",
"4","10000",
"0","4306",
"0","4784",
"0","8039",
"1","10000",
"8","10000",
"0","9696",
"2","10000",
"0","7813",
"0","6253",
"0","5821",
"0","8415",
"6","10000",
"2","10000",
"0","4761",
"0","9039",
"8","10000",
"17","10000",
"13","10000",
"19","10000",
"19","10000",
"22","10000",
"15","10000",
"17","10000",
"13","10000",
"21","10000",
"20","10000",
"5","10000",
"27","10000",
"15","10000",
"24","10000",
"20","10000",
"17","10000",
"10","10000",
"10","10000",
"22","10000",
"18","10000",
"19","10000",
"9","10000",
"14","10000",
"22","10000",
"14","10000",
"28","10000",
"12","10000",
"14","10000",
"24","10000",
"23","10000"
