[final],
"0","9201",
"1","10000",
"0","4118",
"1","10000",
"0","9492",
"0","9882",
"0","7357",
"1","10000",
"2","10000",
"0","8823",
"4","10000",
"4","10000",
"5","10000",
"5","10000",
"4","10000",
"4","10000",
"3","10000",
"4","10000",
"3","10000",
"2","10000",
"3","10000",
"6","10000",
"7","10000",
"5","10000",
"4","10000",
"9","10000",
"5","10000",
"5","10000",
"4","10000",
"4","10000",
"2","10000",
"1","10000",
"0","6434",
"0","9171",
"0","9880",
"3","10000",
"0","5896",
"0","6413",
"1","10000",
"2","10000",
"9","10000",
"5","10000",
"2","10000",
"5","10000",
"6","10000",
"3","10000",
"5","10000",
"3","10000",
"6","10000",
"3","10000",
"6","10000",
"5","10000",
"5","10000",
"7","10000",
"5","10000",
"5","10000",
"8","10000",
"2","10000",
"6","10000",
"7","10000",
"2","10000",
"1","10000",
"1","10000",
"2","10000",
"4","10000",
"1","10000",
"3","10000",
"2","10000",
"4","10000",
"5","10000",
"7","10000",
"7","10000",
"6","10000",
"3","10000",
"4","10000",
"5","10000",
"5","10000",
"8","10000",
"4","10000",
"4","10000",
"8","10000",
"5","10000",
"3","10000",
"7","10000",
"8","10000",
"5","10000",
"4","10000",
"5","10000",
"6","10000",
"7","10000",
"0","8656",
"2","10000",
"1","10000",
"1","10000",
"1","10000",
"1","10000",
"0","7216",
"1","10000",
"2","10000",
"2","10000",
"5","10000",
"17","10000",
"12","10000",
"13","10000",
"10","10000",
"7","10000",
"13","10000",
"14","10000",
"10","10000",
"13","10000",
"11","10000",
"12","10000",
"18","10000",
"11","10000",
"16","10000",
"12","10000",
"13","10000",
"18","10000",
"12","10000",
"8","10000",
"2","10000",
"0","7532",
"3","10000",
"0","9443",
"5","10000",
"7","10000",
"0","7955",
"6","10000",
"2","10000",
"0","7146",
"11","10000",
"10","10000",
"11","10000",
"11","10000",
"12","10000",
"13","10000",
"14","10000",
"13","10000",
"7","10000",
"11","10000",
"20","10000",
"18","10000",
"11","10000",
"19","10000",
"18","10000",
"18","10000",
"15","10000",
"11","10000",
"16","10000",
"18","10000",
"3","10000",
"9","10000",
"8","10000",
"13","10000",
"5","10000",
"3","10000",
"15","10000",
"9","10000",
"14","10000",
"17","10000",
"14","10000",
"24","10000",
"9","10000",
"16","10000",
"16","10000",
"19","10000",
"15","10000",
"14","10000",
"15","10000",
"13","10000",
"20","10000",
"17","10000",
"19","10000",
"13","10000",
"22","10000",
"20","10000",
"20","10000",
"18","10000",
"21","10000",
"14","10000",
"2","10000",
"3","10000",
"4","10000",
"0","9319",
"0","8928",
"1","10000",
"1","10000",
"0","9874",
"2","10000",
"3","10000",
"14","10000",
"17","10000",
"22","10000",
"17","10000",
"16","10000",
"13","10000",
"18","10000",
"20","10000",
"26","10000",
"20","10000",
"27","10000",
"33","10000",
"26","10000",
"26","10000",
"26","10000",
"31","10000",
"23","10000",
"27","10000",
"25","10000",
"29","10000",
"2","10000",
"6","10000",
"4","10000",
"3","10000",
"6","10000",
"2","10000",
"1","10000",
"5","10000",
"4","10000",
"4","10000",
"13","10000",
"27","10000",
"18","10000",
"21","10000",
"19","10000",
"16","10000",
"13","10000",
"26","10000",
"20","10000",
"19","10000",
"31","10000",
"26","10000",
"25","10000",
"31","10000",
"29","10000",
"32","10000",
"27","10000",
"31","10000",
"30","10000",
"24","10000",
"15","10000",
"19","10000",
"10","10000",
"14","10000",
"9","10000",
"5","10000",
"8","10000",
"14","10000",
"7","10000",
"11","10000",
"23","10000",
"21","10000",
"18","10000",
"27","10000",
"26","10000",
"23","10000",
"30","10000",
"29","10000",
"17","10000",
"26","10000",
"31","10000",
"35","10000",
"32","10000",
"34","10000",
"32","10000",
"25","10000",
"27","10000",
"28","10000",
"34","10000",
"34","10000"
