[final],
"0","1345",
"0","1395",
"0","1860",
"0","1017",
"0","1288",
"0","975",
"0","2803",
"0","1259",
"0","865",
"0","1804",
"0","286",
"0","2646",
"0","7688",
"0","3348",
"0","3101",
"0","4248",
"0","3406",
"0","1335",
"0","3092",
"0","1471",
"1","10000",
"0","7434",
"1","10000",
"5","10000",
"1","10000",
"4","10000",
"4","10000",
"2","10000",
"3","10000",
"3","10000",
"0","8766",
"0","5222",
"1","10000",
"0","5239",
"1","10000",
"0","4646",
"2","10000",
"0","5046",
"0","9741",
"1","10000",
"1","10000",
"2","10000",
"2","10000",
"2","10000",
"3","10000",
"2","10000",
"2","10000",
"1","10000",
"1","10000",
"2","10000",
"5","10000",
"3","10000",
"0","7907",
"4","10000",
"2","10000",
"4","10000",
"1","10000",
"6","10000",
"5","10000",
"3","10000",
"3","10000",
"2","10000",
"5","10000",
"2","10000",
"2","10000",
"3","10000",
"2","10000",
"5","10000",
"3","10000",
"3","10000",
"4","10000",
"5","10000",
"3","10000",
"3","10000",
"2","10000",
"2","10000",
"1","10000",
"3","10000",
"0","8966",
"5","10000",
"5","10000",
"3","10000",
"7","10000",
"3","10000",
"2","10000",
"5","10000",
"3","10000",
"2","10000",
"7","10000",
"4","10000",
"0","1551",
"0","922",
"0","582",
"0","1382",
"0","4114",
"0","1476",
"0","4349",
"0","1720",
"0","2268",
"0","4229",
"0","2707",
"0","4719",
"0","6838",
"0","6683",
"0","3597",
"0","6303",
"0","5711",
"0","4839",
"0","1770",
"0","7597",
"3","10000",
"3","10000",
"9","10000",
"4","10000",
"7","10000",
"10","10000",
"0","7132",
"7","10000",
"6","10000",
"2","10000",
"5","10000",
"0","8339",
"4","10000",
"1","10000",
"1","10000",
"0","8225",
"1","10000",
"0","7316",
"0","5377",
"1","10000",
"5","10000",
"1","10000",
"7","10000",
"5","10000",
"5","10000",
"10","10000",
"5","10000",
"4","10000",
"5","10000",
"6","10000",
"10","10000",
"12","10000",
"8","10000",
"10","10000",
"12","10000",
"14","10000",
"11","10000",
"11","10000",
"9","10000",
"14","10000",
"7","10000",
"6","10000",
"5","10000",
"9","10000",
"10","10000",
"3","10000",
"8","10000",
"6","10000",
"6","10000",
"8","10000",
"13","10000",
"7","10000",
"9","10000",
"8","10000",
"4","10000",
"11","10000",
"11","10000",
"7","10000",
"10","10000",
"7","10000",
"10","10000",
"8","10000",
"8","10000",
"12","10000",
"11","10000",
"9","10000",
"9","10000",
"9","10000",
"9","10000",
"5","10000",
"0","3099",
"0","2602",
"0","1539",
"0","5359",
"0","698",
"0","1380",
"0","1844",
"0","2175",
"0","1972",
"0","1579",
"0","4894",
"0","3569",
"0","4122",
"0","4450",
"2","10000",
"1","10000",
"0","1621",
"0","7300",
"0","6677",
"1","10000",
"20","10000",
"10","10000",
"6","10000",
"17","10000",
"6","10000",
"11","10000",
"12","10000",
"14","10000",
"13","10000",
"12","10000",
"0","6929",
"3","10000",
"3","10000",
"4","10000",
"0","8483",
"0","5460",
"0","6410",
"4","10000",
"7","10000",
"0","7120",
"15","10000",
"18","10000",
"14","10000",
"7","10000",
"6","10000",
"7","10000",
"13","10000",
"12","10000",
"12","10000",
"20","10000",
"14","10000",
"9","10000",
"16","10000",
"13","10000",
"14","10000",
"19","10000",
"21","10000",
"21","10000",
"17","10000",
"14","10000",
"14","10000",
"9","10000",
"16","10000",
"14","10000",
"11","10000",
"10","10000",
"7","10000",
"10","10000",
"14","10000",
"12","10000",
"15","10000",
"19","10000",
"14","10000",
"12","10000",
"9","10000",
"12","10000",
"11","10000",
"14","10000",
"14","10000",
"18","10000",
"22","10000",
"16","10000",
"13","10000",
"17","10000",
"18","10000",
"13","10000",
"16","10000",
"14","10000",
"22","10000",
"16","10000"
